patient,status,sample,lane,fastq_1,fastq_2
PRJNA298376_4072,0,PRJNA298376_4072DN,LX,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4072/DN/SRR9697825_1.fastq.gz,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4072/DN/SRR9697825_2.fastq.gz
PRJNA298376_4072,1,PRJNA298376_4072DT,LX,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4072/DT/SRR9697824_1.fastq.gz,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4072/DT/SRR9697824_2.fastq.gz
PRJNA298376_4072,2,PRJNA298376_4072RT,LX,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4072/RT/SRR9697627_1.fastq.gz,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4072/RT/SRR9697627_2.fastq.gz
