patient,status,sample,lane,fastq_1,fastq_2
PRJNA298376_4232,0,PRJNA298376_4232DN,LX,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4232/DN/SRR9697748_1.fastq.gz,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4232/DN/SRR9697748_2.fastq.gz
PRJNA298376_4232,1,PRJNA298376_4232DT,LX,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4232/DT/SRR9697747_1.fastq.gz,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4232/DT/SRR9697747_2.fastq.gz
PRJNA298376_4232,2,PRJNA298376_4232RT,LX,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4232/RT/SRR9697774_1.fastq.gz,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4232/RT/SRR9697774_2.fastq.gz
