patient,status,sample,lane,fastq_1,fastq_2
PRJNA298376_4060,0,PRJNA298376_4060DN,LX,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4060/DN/SRR9697645_1.fastq.gz,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4060/DN/SRR9697645_2.fastq.gz
PRJNA298376_4060,1,PRJNA298376_4060DT,LX,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4060/DT/SRR9697644_1.fastq.gz,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4060/DT/SRR9697644_2.fastq.gz
PRJNA298376_4060,2,PRJNA298376_4060RT,LX,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4060/RT/SRR9697632_1.fastq.gz,/t9k/mnt/WorkSpace/data/raw_data/PRJNA298376/4060/RT/SRR9697632_2.fastq.gz
